Price,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY
Date,,,,,
2020-08-31,325.2489318847656,327.10184821328556,325.0161523092038,326.21730287543596,66099200
2020-09-01,328.3122253417969,328.414634686384,325.1836539632205,326.0868395952134,54908700
2020-09-02,333.06097412109375,334.0386368138728,329.0850814287248,330.239687258978,69540000
2020-09-03,321.59893798828125,331.8319182076837,318.9917899040027,331.35703881907256,148011100
2020-09-04,318.97314453125,323.8708065712625,311.80352356591766,322.2879227999544,139156300
2020-09-08,310.2578430175781,319.0383079814321,309.9505865584041,313.5167562507004,114465300
2020-09-09,316.3846740722656,318.87074385526404,313.4236964794232,314.29894989645277,91462300
2020-09-10,310.8910217285156,318.935866965919,309.9226509927882,318.2747811017006,90569500
2020-09-11,311.04937744140625,313.7589351078927,308.20015771282783,312.6881547445535,84680200
2020-09-14,315.14630126953125,316.9340609617093,311.19836865262823,314.24311535494996,65605700
2020-09-15,316.73846435546875,318.46101015038033,315.15555218042186,317.623009522902,52920900
2020-09-16,315.4814758300781,319.42940791121333,315.202123320364,317.9861860651773,82096000
2020-09-17,312.7066955566406,314.4385899779849,310.05300332026394,310.5837474506331,91523300
2020-09-18,309.1066589355469,313.63130773301225,306.6012798420217,313.51913083766345,105877900
2020-09-21,305.6663513183594,305.8159299812702,300.76777135718396,304.47910812609643,99450800
2020-09-22,308.7794494628906,309.34036245461033,304.62873326507275,307.16218504731637,63612100
2020-09-23,301.61859130859375,309.6208671826553,301.11376670774126,309.3403963914159,93112200
2020-09-24,302.4224548339844,305.50743291519547,298.96351580905053,300.29100868915145,76681300
2020-09-25,307.31170654296875,308.1063022266746,300.68365677214575,301.56238510956587,71069400
2020-09-28,312.416015625,313.1358363795678,310.50892284308117,311.5092143613189,64584600
2020-09-29,310.7145690917969,312.9581924041424,310.0134350236128,312.2103274764333,51304000
2020-09-30,313.0704040527344,316.24887285260775,311.1913555832398,311.3876651380587,104081100
2020-10-01,315.08026123046875,316.669481089299,313.18252645280916,315.6879049567631,88698700
2020-10-02,312.0888366699219,315.0523096322458,309.61150165491927,310.08828201733905,89431100
2020-10-05,317.6230773925781,317.81002935219834,314.1174071960067,314.1641380536075,45713100
2020-10-06,313.1077575683594,319.87605754735483,312.5936040189246,317.76329785048756,90128900
2020-10-07,318.55792236328125,319.3712332831514,316.06187263371896,316.0899168540863,56999600
2020-10-08,321.3811340332031,321.446580054868,319.5862184041517,320.51173470268236,45242500
2020-10-09,324.2511291503906,324.7185518452797,322.41884017460626,323.045170609396,59528600
2020-10-12,329.46759033203125,330.9539912427605,326.31716558452143,326.8126325547645,80388500
2020-10-13,327.3173828125,329.50491734660983,326.3451357320465,329.32729446087654,73255500
2020-10-14,325.2607421875,329.00012366118165,324.5222348874838,327.8970129734575,57727900
2020-10-15,324.8587646484375,325.34487396818486,320.77349496415195,321.31569272351567,60357700
2020-10-16,324.6624450683594,327.89700194613374,324.4848221719957,326.2236208047571,89501900
2020-10-19,319.72650146484375,326.56954847623047,318.8197002372289,325.93386041728087,68425600
2020-10-20,321.0072326660156,324.27919171533324,320.3154561677956,321.0820077485723,60051900
2020-10-21,320.3995361328125,323.14798356449506,320.0910212111179,320.960420482777,63575000
2020-10-22,322.15704345703125,322.746000594194,318.4550638467144,320.6145543301672,55399300
2020-10-23,323.2508850097656,323.4471945821473,320.773550070402,323.39110613289535,49143900
2020-10-26,317.2771911621094,320.6332826945844,313.75280577693434,319.8386584058485,91473000
2020-10-27,316.1834716796875,317.9596725672531,315.9684469268071,317.62314185410764,65994100
2020-10-28,305.37652587890625,316.2113779481399,304.881059081235,310.46208587310673,127094300
2020-10-29,308.48028564453125,311.67744083545017,303.90887808851886,305.61030350993144,90597700
2020-10-30,305.26446533203125,308.2092230261782,301.5811716858951,306.89108741410416,120287300
2020-11-02,308.6859130859375,310.70515372104285,305.91875060379033,308.6859130859375,86068300
2020-11-03,314.1361389160156,316.21149711139674,308.7701347610518,311.94860382292006,93294200
2020-11-04,321.1567687988281,325.27008249557827,317.464118377996,318.6513616623179,126959700
2020-11-05,327.42022705078125,329.24318689940026,326.13013589996984,326.48538169850815,82039700
2020-11-06,327.3454895019531,328.6075365780446,324.9990182694018,327.13046477576233,74973000
2020-11-09,331.4588623046875,340.63905318330274,330.9914394924878,340.25576305379207,172304200
2020-11-10,330.9726867675781,332.0383957314142,327.67268351350543,330.4585046592869,85552000
2020-11-11,333.43133544921875,334.2633330551548,331.9262194564756,333.1789089218614,58649000
2020-11-12,330.1967468261719,333.47806341963206,328.37381535253064,332.41232593384484,67546200
2020-11-13,334.7681579589844,335.5160228997194,331.5990182215688,332.1225293859271,62892200
2020-11-16,338.9468688964844,339.1431784222475,336.16101961858254,337.46046828584866,74541100
2020-11-17,337.1239013671875,338.3392173525308,334.99245526326524,336.51625763912284,66111000
2020-11-18,333.06671142578125,337.9466054590558,333.0293096223353,337.39505010740044,70591300
2020-11-19,334.4689636230469,334.842896052107,331.07547048412533,332.4310076348359,59940900
2020-11-20,332.1785888671875,334.4128829692655,332.10381379132116,334.2072158491128,70417300
2020-11-23,334.1698303222656,335.44123490764684,331.74858414798723,334.00156499645885,63230600
2020-11-24,339.5545654296875,340.106120821583,335.88062965885445,336.7406714963386,62415900
2020-11-25,339.031005859375,339.49842851756154,337.92789523306635,339.47038429923896,45330900
2020-11-27,339.9752502441406,340.45200201380095,338.9562436192393,340.1341579909546,28514100
2020-11-30,338.47015380859375,339.4610877397467,335.76846519379984,339.1899745610818,83872700
2020-12-01,342.1720886230469,343.7239353451795,341.15311060347875,341.75142532829835,74231400
2020-12-02,342.8919982910156,343.05090605398885,340.47075180344405,341.0503514645866,45927000
2020-12-03,342.7984619140625,344.2007300136769,341.68599360603105,342.7891043307155,62882000
2020-12-04,345.7525634765625,345.7525634765625,343.2939156053123,343.38740584752725,50749900
2020-12-07,345.0421142578125,345.53758122027995,343.76138051686195,344.9766682273006,48944300
2020-12-08,346.05169677734375,346.6219387155356,343.7145835305619,343.7613143838118,42458900
2020-12-09,342.94805908203125,346.874392855,342.1067038827679,346.7154851048424,74098300
2020-12-10,342.83587646484375,343.8922278412856,340.6857148479617,341.56447183872956,57735400
2020-12-11,342.4337463378906,342.8450804613679,339.59183779467617,341.12496891283024,57698600
2020-12-14,340.9007263183594,345.70581682973443,340.72310341037064,344.6214212735744,69216200
2020-12-15,345.5094909667969,345.5094909667969,342.0786244939238,343.4621773591673,63865300
2020-12-16,346.05169677734375,346.9771844937207,344.8363807714885,345.7244952169514,58420500
2020-12-17,347.98687744140625,348.1925445911866,346.8744090215788,347.7064352049877,64119500
2020-12-18,346.5973815917969,348.44687852655625,344.56950459854585,348.27789593982584,136542300
2020-12-21,345.3581237792969,355.3097313629829,339.8847553662255,342.6449189270984,96386700
2020-12-22,344.7760314941406,345.7993530868714,343.64005484912053,345.6866980345821,47949000
2020-12-23,345.0858459472656,347.01043652218215,344.75724962571684,345.75240741041256,46201400
2020-12-24,346.4284362792969,346.4566000467822,344.9732605411663,345.56469965835925,26457900
2020-12-28,349.40447998046875,349.79877265593797,348.3717609361956,349.00076118305293,39000400
2020-12-29,348.73785400390625,351.12249070633493,348.1463864006702,350.94411067834875,53680500
2020-12-30,349.2354736328125,350.27759016276275,348.84118095183555,349.5640699675113,49455300
2020-12-31,351.0098876953125,351.7421742052832,348.5219930557214,349.0383382759058,78520700
2021-01-04,346.23126220703125,352.48387594603577,342.50410447021835,352.3524259410661,110210800
2021-01-05,348.6158752441406,349.7143194040701,345.53651271864265,345.5834714285236,66426200
2021-01-06,350.7000427246094,353.9202523880192,346.54103142375175,347.0949378557345,107997700
2021-01-07,355.91058349609375,356.6616362990513,352.9157124541639,353.0940925087612,68766800
2021-01-08,357.9384460449219,358.15435867540117,354.03290859484423,357.30941714335967,71677200
2021-01-11,355.5256652832031,357.3000397350411,354.6149987034342,354.7370512322942,51034700
2021-01-12,355.6007385253906,356.62406010309326,353.33815408905065,355.71342222685223,52547700
2021-01-13,356.5583190917969,357.56284560134003,354.7369862658177,355.5256001722999,45303600
2021-01-14,355.3096923828125,357.81638178482524,354.9717272414135,357.3094054219009,49989100
2021-01-15,352.718505859375,354.483482509932,350.84084552187676,353.67610231720283,107160000
2021-01-19,355.4880676269531,356.0326052151817,353.70429588615946,355.19703254217853,51233300
2021-01-20,360.4075927734375,361.2525343487993,357.40332422678637,357.79761692490206,61836100
2021-01-21,360.73614501953125,361.40273516060154,359.80671219152816,360.97085259434635,47840100
2021-01-22,359.4593811035156,360.632919080556,358.48298948438577,358.86791337895454,52860500
2021-01-25,360.8769836425781,361.2337150808615,355.30969832974995,360.2010246976405,70402000
2021-01-26,360.31365966796875,362.24764763721817,360.0789521119839,361.8345600466188,42665300
2021-01-27,351.5074768066406,357.055967645205,349.2542896838257,356.9620788794984,123351100
2021-01-28,354.53045654296875,358.5674149828668,352.89690114695435,353.33812384056,94198100
2021-01-29,347.4329833984375,353.62926995397936,345.7430714373819,352.65287828653595,126765100
2021-02-01,353.2161560058594,354.2582439511402,347.72399267981973,350.8596826383389,75817600
2021-02-02,358.210693359375,359.77855258361063,353.3006291740671,356.42692150034526,64450700
2021-02-03,358.49237060546875,360.22921246243635,357.20617762542906,359.04627706726836,52427100
2021-02-04,362.56689453125,362.61382458833737,358.6050293150717,359.5344621916985,47142600
2021-02-05,363.993896484375,364.70741669807336,362.51995465199013,364.4539428251779,48669800
2021-02-08,366.6226501464844,366.6695802037809,364.5947731468553,365.4584810267465,38365200
2021-02-09,366.37847900390625,366.9793440735661,365.3645550123846,365.7776139342464,35551100
2021-02-10,366.21893310546875,368.28437135150074,363.79676339042106,368.13415505625943,59154400
2021-02-11,366.8103332519531,367.7303971467791,364.36000022355034,367.3079121035535,42913300
2021-02-12,368.62237548828125,368.86645190539963,365.9279082212432,366.00303069637926,50593300
2021-02-16,368.3030700683594,370.058706580778,367.5801811402977,369.8615316133601,50972400
2021-02-17,368.3876037597656,368.6410776048561,365.5147569279507,366.53810708042516,52290600
2021-02-18,366.8197021484375,367.57075477697555,364.0219781031141,365.7588195387822,59712800
2021-02-19,366.1719970703125,368.3782541037328,365.72134819194525,368.0872189898378,83241000
2021-02-22,363.35552978515625,365.7870970912154,363.0832609460102,363.3836935512175,67414200
2021-02-23,363.79669189453125,365.15800710517556,356.94324309465384,361.1304176423578,107284100
2021-02-24,367.8055114746094,368.2373940120349,361.70311493677366,362.6982726954932,72433900
2021-02-25,358.94293212890625,367.9087775887536,357.48775680206313,366.52869607036996,146670500
